City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Viedma,AR,-40.8135,-62.9967,55.87,58,79,19.3,broken clouds
329,Nagyrabe,HU,47.2,21.3333,52.36,57,5,4.05,clear sky
330,Teahupoo,PF,-17.8333,-149.2667,71.56,72,24,17.56,few clouds
331,Hofn,IS,64.2539,-15.2082,38.14,78,91,18.86,overcast clouds
332,Ainazi,LV,57.8636,24.3578,38.17,74,4,5.19,clear sky
333,Sloboda,RU,51.1421,40.3021,58.84,67,67,10.56,broken clouds
334,Agadez,NE,19.75,10.25,97.86,5,0,6.85,clear sky
335,Victoria Point,AU,-27.5833,153.3,68.43,92,24,1.99,few clouds
336,Kedrovyy,RU,56.1667,91.8167,27.01,99,100,2.15,overcast clouds
337,Anadyr,RU,64.75,177.4833,25.3,86,75,24.61,light snow
338,Mareeba,AU,-17.0,145.4333,72.32,90,60,2.51,broken clouds
339,Lavrentiya,RU,65.5833,-171.0,15.53,89,100,9.51,overcast clouds
340,Port Augusta,AU,-32.5,137.7667,68.04,43,46,6.91,scattered clouds
341,Clyde River,CA,70.4692,-68.5914,3.43,85,100,11.5,overcast clouds
342,Port Moresby,PG,-9.4431,147.1797,74.62,100,40,3.44,scattered clouds
343,Old Saybrook,US,41.2918,-72.3762,63.95,77,0,10.36,clear sky
